img_id;Sample;Image;Name;Image Name;expo_id;Country;Group;Class;Class Description;Granular Location - Map;Palace Gallery Section;Palace Gallery Section Name;Area;Locale Type;Critical Theme;Topical Theme;People;Animal;Animal Type;Plant;Plant Type;Sound;Sound Type;Prize;Prize Type;Material;Creator;Image Framing;Image Materiality;Glass Plate;Text-in-Frame;Text-in-Image;Associated Excerpt(s);Excerpt Image ;Excerpted Source(s);Source File(s);Associated Image(s);Links;Comments;Medium;Author;Approx Orig Resolution;Collection
255;duplicate;image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/gohJbIH8P9hzXsVkTFtLXg/bq8TEozwGBYUOuWLR56Sq39egJfz6g6i2tUZk4Zs9MrpjYBw8wljZIvC9gA4X75ku58l1aPQibR2bzWvP0JXqWxlxEMqTVMA6AC6Je_EXG6VNpXfwilfWbK9OPJgEKGX-Sy2u6Qo37HXHxFbQV-YFw/yuh1FFA5sum7OhgYlrVUOmz1mSewwdarz3FlS0oxHgI);348 Galerie des États d'Amérique du Sud;South American States;348;South America,Nicaragua,Chili,Uruguay;Group 2. Apparatus and Application of the Liberal Arts.;Class 9. Photographic Proofs and Apparatus.,Class 13. Maps and Geographical and Cosmographical Apparatus.;"Class 9, (Palace Gallery 2.) Proofs and Apparatus of Photography.—Photography on paper, glass, wood, stuffs, enamel; heliographic engravings, lithographic proofs, photographic stereotypes, stereoscopes and stereoscopic proofs; specimens obtained by amplification; instruments, tools, and materials for photography; materials and apparatus for photographic workshops.

Class 13, (Palace Gallery 2.) Geography, Cosmography, Apparatus, Maps, Charts, ifc.—Maps and atlases, topographical, geographical, geological, hydrological, astronomical, &c. ; marine charts, physical charts of all sorts, flat and in relief; celestial and terrestrial globes and spheres, apparatus for the study of cosmography. Statistical works, tables, tables and ephemerides, for astronomers and mariners.";;Palace Gallery 2;;Palace;Country Section;Indigineity,Coloniality;Sculpture;;;;;;;;;;;;;;;;;;;;;;;;Sculpture,Photography,Map;Leon & Levy;1050;Archives Nationales de France
1041;yes;image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/T3fCmUuKZlq_40tAP0YgTw/-sJp1D524rqyWLN3S9uc9RrW_MUFaJ4ub3a0zftLbcihWwUSu0Hk3hwzE5EibJwiiD5g5FXEz9qIld3sDAOxpct70wlyE8_xKkxQSdUzHaPDix77IiLsGM4bhakipkck7jYHQEmff9u67kRaCxcv8w/CKj6kZaR5Tk5VFuAd-KrJfMwj5HSwjd5RblPdcd9m1c);8043 Exposition Universelle de 1867. Jardin d'Horticulture. Aquarium.;Aquarium Worker;8048;;;;;;;;Park;Aquarium;Ecocriticism,Anthropization;Aquarium,Architecture,Landscaping,Fish and Fishing;checked;;;;;checked;Running Water;;;;;;Glass Plate;checked;Exposition Universelle de 1867. Jardin d'Horticulture. Aquarium.;;;;;;;;"Find exact location of Aquarium & specify; Search sources for excerpts";People, Architecture;Leon & Levy;7,500x3,515;Getty Foundation
1047;yes;image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/x_1pIzIesh631pK9jqzOuw/lJyAAI-ZONDfPtDfz55SphPzwt7nX_YptuSuyQUKkwaZYinIjOP5ppCX4DWx-vVohZ7bRv5v7jOgsC81VAJyO4e0sF9CX7IgEvExrT7bJm8QEzVU7fPK4hKv5cpyIsWCbvhjvqLYOAq4-CYFpuNBew/Cz7nNI9fl2EqYOUZmZezNQd5G0XqzqxT0hrkzIXE5wQ);8111 Exposition Universelle de 1867. Galerie des Beaux-Arts. Section Autrichienne.;Austrian Fine Arts;8111;Austria;Group 1. Works of Art.;Class 1. Paintings in Oil.,Class 3. Sculpture and Dye-Sinking.;"Class 1. (Palace Gallery 1.) Paintings in Oil. Paintings on canvas, on panels, on glazing, and other Surfaces.

Class 3. (Palace Gallery 1.) Sculptures and Engravings on Medals. Spherical, embossing, sculptured bas-reliefs, sculptures reponsées, pressed and chiselled, medals, cameos, engraved stones, chemical engravings.";;Palace Gallery 1;Galerie I des Oeuvres d'Art;Palace;Country Section;Gender - Masculinity,Political Aesthetics;Public Figure,Sculpture,Bust;;;;;;;;;;;;;Glass Plate;checked;Exposition Universelle de 1867. Galerie des Beaux-Arts. Section Autrichienne.;Viszanik;;;;;;;;Sculpture, Paintings;Leon & Levy;7,500x3,521;Getty Foundation
1040;yes;image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/SYrzRn9i5u81dPqCj0HgqA/53ThpTy9n6uyGoQe7V_4Go1RuYHTatFleTf8LC5lTTAiWMjLIzY0Hbhwh9-Moqv2gUYEzS7L_08RSgsbcJ3ZcbgJYc418gPjCqc_0LzMY-28d22WxJ03f0aC4oCq0on7XT0znWtYixj-Y9F06a32sw/cHK9fL7MjJDxwW3RCALWbUHtykanzkZ4Z8ytGsT6hP4);8043 Exposition Universelle de 1867. Cristaux de Baccarat. Section Française.;Baccarat Fountain;8046;France;Group 3. Furniture and Other Objects for the Use of Dwellings.;"""Class 16. Crystal, Fancy Glass and Stained Glass.""";"Class 16. (Palace Gallery 3.) Crystals, Rich Glassware and Glazing. Goblets in crystal, cut-glass, double crystal, mounted crystal, &c.; glass for windows, furniture, and mirrors; glass figured, enamelled, crackled, filigraned; optical crystals; ornamental glass-painted windows.";;Palace Gallery 3;Galerie III du Mobilier;Palace;Country Section;Consumerism,Extractivism;Existing Company,Interior Decor;;;;;;;;checked;Grand Prize,Honourable Mention;Glass,Mineral;Compagnie des cristalleries de Baccarat;;Glass Plate;checked;Exposition Universelle de 1867. Cristaux de Baccarat. Section Française.;Baccarat;"Baccarat, Its Workers, and Its 'Monumental' Fountain:
Baccarat exhibited crystals that had cost the company 450,000 francs to manufacture, but had a commercial value of no more than 350,000 francs. The monumental fountain, so much talked about and so remarkable, weighed 10,000 kilograms and cost 80,000 francs. Certainly not an everyday item.
Among the objects we noticed most were large painted vases, several beautiful candelabras, an azure tray, a gold chloride and opal vase, and a blue veneered vase.
Baccarat employs 1,600 to 2,000 workers. The Siemens wood-fired kiln has been adopted. Most of the beautiful vases exhibited by Baccarat had been fashioned in-house, but the painting and engraving had been entrusted to the leading artists in Paris (Exposition universelle de Paris en 1867: documents et rapports 42-43; translated with DeepL.com (free version))

Prize Information:
The Compagnie des cristalleries de Baccarat from France was awarded a Grand Prize for the Group 3, Class 16 category.
François Pertuzot was awarded an Honourable Mention in the Group 3, Class 16 category for crystal cutting at the Baccarat company.
The Cristallerie de Baccarat was awarded an Honourable Mention for the 'Establishments and Localities Characterized by Social Harmony and the Well-Being of the Population' category.";image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/qyJdwIyrNLGuvW89J1teJg/5X9aTngTpjUciz0RQC-YWjxmqzDW1RMABpgj9fBJjUHWNBg34_jQM6T447__rKShHis8Iwt3dZhebAIQpbx39Clb6C3s5BxuufPzFCfv7PpY9E3556l0ZhphpFEFx2ljfYMnPa7jOZdvjWLmL4SRJA/uqeGyYcBpjwrBeH4Iu52_dXsjNMOvjmsH2m6EbDQyxY),image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/nJzywVCt8TXF23JzFo2kUQ/XLMLSknKEAb_AhiA42FTrGlhT_W4ec9JpiocidYOU48ycsr9ORXqfODNyblI1r-BgSIGWC53hp1aSEmXF02XAQp0VUhdyY1Qn8mXHgxNTPwXvFu52yjR-RoHUxzn1PLyL6odFtI7ystOMLae5Ux_FA/v0hkaXJ8aEmt8SsUaLmBjTxogAXaRCXuY7s-S-1qFsU),image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/zA395hXulXUaYu4xkwkyQA/Sy8YS5LqmDwAf7pBnksOZKddupIR1t3TyLCMdOxpqgWqJlTK1YSPpLvHL1V1lk9fvP6Dz9Hf4fKNRjJUr1Klh2CDD6tw4UeYwussHT6FQNJB6jGrvz-6LEwxGsAqkgiFn-sAh9zqrnSSodwBrw5VSw/TM7xZJDys-t5_vhAyxQCwkhC5dajgq_PDUmlc9mfRzg);"Exposition universelle de 1867 à Paris. Exposition universelle de Paris en 1867: documents et rapports. Bruxelles: Imprimerie et lithographie de E. Guyot, rue de Pachéco, 12, 1868. Internet Archive, http://archive.org/details/expositionuniver02expo.

Exposition universelle de 1867 à Paris. Jury international. Catalogue officiel des exposants récompensés par le Jury international. Paris: Dentu, 1867. Internet Archive, http://archive.org/details/gri_catalogueoff00expo.
Grand Prize, page 12.
François Pertuzot's Honourable Mention, page 17.
Honourable Mention for the 'Establishments and Localities Characterized by Social Harmony and the Well-Being of the Population' category, page 6.

";"""Exposition universelle de 1867 à Paris. Exposition universelle de Paris en 1867, documents et rapports. Bruxelles, Imprimerie et lithographie de E. Guyot, rue de Pachéco, 12, 1868..pdf (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/kb--X_VYBcv8TY-9yn77qg/xw2YsG_mzKFwKzEBpHpaOS0nD7HPPsRoEgcpJQO2u2YLaROu4A3DXiBr96l-CnW44ObuFluUkIfNNeJ21oJuVluuCUmlymGuvvS1KVtr_ZLnWddoUHwsuhB_0vk6m8oBF_PP-0qrsdsiI9fbSqz6xdq3x7nuxkcx31D8lZ2yiwE6N_WUNeaFugROMG966iIEsQn1ZA1QUbepGkX-2MEDyhPAwrO5ea1Vte4s3cR_3tsCLyOlStAEc3mryYUsM3MQkUD-pw_r44nW27_iKcj6a_rOjUGMFOpSIMFwvt4uHavrBivEz-Tu6J5wibVcni3KKbvTDHCByoH-a5Ao367bGQ/0vziXxUIp-JE_dZhwHmxtRrVKiDUpo-vdnxyfwo9s7E)"",""Exposition universelle de 1867 à Paris. Jury international. Catalogue officiel des exposants récompensés par le Jury international. Paris , E. Dentu, 1867..pdf (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/X_upLlUT9A9m9cqlzoWhiA/_TnSKXK5QeyVoxnmOtopudJRkARvoPHruQFDB7g_rLLL5wzJR8s_uhX_1LI1G75yBvJeCu280iZcCVsmTcy-2NJCmHAtlCuQLx-0FJzYEtL8_rK-W6A65tCXCEGEBapRkq3ycrU_DYh3WZLHgoIhY625qu47aTv1uyenyGK7tYu-HS-Zfk8suBdOYbFQsyKUCtpswoqwdlg1_gdnmu3saw-AyhDBU_riPgPXPREyPCrzrsC8Eo4lJ7ei9S9XtGueVCGUWrScySGAD9ynAygHqUcoJZVtNof7mhGytSK1u_-w2cieY3yjxOnTfEP46Vj7/mVdUeF8sJCkX2t5Wib_Q1eMoIYxB19NdqgRv5W_hUtM)""";;;;Decorative Arts;Leon & Levy;7,500x3,514;Getty Foundation
1042;yes;image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/iyBOkBMnD28b2EWqqny2Sw/wzdHHasNxDAM2rc_D43SX1wd7dqUd7WeEVCJMust9BfT5pJg_PeccXLZ04rF8elb8TLOEaZxgubta9zJkXaFpoiGt3yipv1UVRCfJQaL-N1COeAPwUwsfoBURfV8BLOseTWG--Qrf55wM2auwNUQfA/BqpmxukHSlKykGYQqE-hZ-aO4urrefis74-urTmeHxk);8087 Exposition Universelle de 1867. Galerie des Beaux-Arts. Section Italienne.;Bad Women;8087;Italy;Group 1. Works of Art.;Class 3. Sculpture and Dye-Sinking.,Class 1. Paintings in Oil.;"Class 1. (Palace Gallery 1.) Paintings in Oil. Paintings on canvas, on panels, on glazing, and other Surfaces.

Class 3. (Palace Gallery 1.) Sculptures and Engravings on Medals. Spherical, embossing, sculptured bas-reliefs, sculptures reponsées, pressed and chiselled, medals, cameos, engraved stones, chemical engravings.";;Palace Gallery 1;Galerie I des Oeuvres d'Art;Palace;Country Section;Gender - Femininity,Political Aesthetics;Famous Person,Sculpture,Painting,Bust,Public Figure,Mythology;;;;;;;;;;;;;Glass Plate;checked;Exposition Universelle de 1867. Galerie des Beaux-Arts. Section Italienne.;Marie Antoinette au Temple 1795;"Statues and busts by Marcello, rue Neuve-des-Capucines, 16, Paris. In the image, we see the following works:
Hecate: ""The goddess, absorbed in somber meditation, seems to contemplate the tragic fates of humankind with irony."";
La Marguerte de Goethe: bust;
Femme transtevérine: bust;
Medusa: ""One of the three Gorgon sisters offended Minerva, who punished her by turning her hair into a nest of snakes and giving her eyes the power to kill. The dogue was dedicated to her."";
Bianca Capello: ""This famous Venetian poisoner of the 16th century died a great woman of the Tuscan chesse."";
Ananké: ""Symbolic head of inflexible Destiny. The Indian attributes of wisdom include the elephant's trunk, Ammon's horns and the hawk."";
Marie-Antoinette, at Versailles, Dauphine of France;
Marie-Antoinette, prisoner at the Conciergerie.";image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/yiXdqiIW22GrOxjUXsT6Sg/XGSPW72KYYsMmoUu6PFFcEBTxnAwIpkva1zyiNzbSjAEF3XkpAwV_4lNSX2h2Rq5f6-0lNYW82OFhqIrlbw4DIzr5FWIMgpaV1fi3ZoFFcn4K_ogU_RtrHSJ-hwrZ-PPmG5YFYRwyg29-xGxTLfxoA/M3Hd7PAKsbJuMiX9fOc71SOabzIH-wQnwRdJUUD6LWQ);"Exposition universelle de 1867 à Paris. Commission impériale. Exposition Universelle de 1867 à Paris. Catalogue général, publié par la Commission impériale. Paris, E. Dentu, 1867. Internet Archive, http://archive.org/details/expositionuniver00expo_2.
Page 211.";"""Exposition universelle de 1867 à Paris. Commission impériale. Exposition Universelle de 1867 à Paris. Catalogue général, publié par la Commission impériale. Paris, E. Dentu, 1867..pdf (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/XnJiLReB9tKp3mbSTbNqSw/HTOQqXq1B2ZHpkTIEgZhuFuxUG7TsAI2zHCXF19PTfucZzXKcu1UWneuuCAs4Ya_39ksycVzbWmyxi3nhUHKq8Kn8KUCippsCJUHb8RNuqq3HMBAyjh6DJvM3JtRsPadPe_mT1QyU34AAPL5gq1pOp8LoUaa5MRvbwWw06Tkn_21s21I1zrDuTfXfaXZ-oZxP9rMiXYyXfIoPln6qg4v2HIYDNZB5rOCSIrUFMwYrubVyRg9j3t8XoGZAv7JVv6Fla-MnV1WjlbpIXu3ctQhiwF2uSq9i0KrfeMjgecWJmLCnSlW1qVeZrG2Fs1kFEAMCmmksvJMS3j5yQGt32nX8w/dFTB4jDrZXfuYBotGGVyQHLhxLSk8biGKHpBHmrnEk0)""";;;;Sculpture, Paintings;Leon & Levy;7,500x3,516;Getty Foundation
1036;yes;image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/9SeRtlH1joDnmSTmS-S_bA/bRnY8EBCZocX19UGcVLefBs4qEXymXTpIc-Hb3iwOqna4v2GlUZGheIOBjKu9EH8JWJ57taysllKlhCcxkaSuCY-6kan7vo9rxFdwK8RGWYye539RzXsWXzgTTZvzOwj2pjsyPBV1DNyFwdpzA9Y9g/643CAfV-cP2gB2r2LgYDZuAukLGjxezkYttN62Siqrk);8033 Exposition Universelle de 1867. Section Belge.;Belgian Staircase;8033;Belgium;Group 3. Furniture and Other Objects for the Use of Dwellings.;Class 14. Fancy Furniture.,Class 15. Upholstery and Decorative Work.;"Class 14. Rich Furnishings. Sideboards, bookcases, tables, toilettes, beds, sofas, seats, billiards, &c.

Class 15. (Palace Gallery 3.) Upholstery and Decorative Work. Bedding, covered seats, canopies, curtains, hangings in tapestry and in stuffs; furniture and decorative objects in rich stone and other valuable materials; decorations moulded in paste, in plaster, in pasteboard; decorative painting, frames, furniture; decorative ornaments for religious service.
";;Palace Gallery 3;Galerie III du Mobilier;Palace;Country Section;;Religion,Interior Decor,Furniture;;;;;;;;;;Wood;Goyers Brothers, from Leuven, Belgium ;;Glass Plate;checked;Exposition Universelle de 1867. Section Belge.;Sculptures et Ameublements d'Eglise - Goyers Frères à Louvain Belgique ;;;;;;;;Decorative Arts, Architecture;Leon & Levy;7,500x3,510;Getty Foundation
1037;yes;image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/H9qEWLgkMFigydVxyzDKbQ/3RDQEc3hJuKAY0tN7hiVRHQMsPg3I5ZmBPaEaCsx30wWnTue1NpEKYF9DS9sD10zZxKVnOKKmJX5hS0oq4y6ECU5RB2gCJGFYXLmdUawW9KlIHxnLIWyicf0Gv6lu5oTx11Hd1BwaeJUdXWPPcuB8A/cx5GaVWR4qH8VRyIGUd8ESpH1XCCaJETLHVvVlJ_r1U);8035 Exposition Universelle de 1867. Section Anglaise.;Chance Brothers;8035;Great Britain;Group 3. Furniture and Other Objects for the Use of Dwellings.;"""Class 16. Crystal, Fancy Glass and Stained Glass.""";"Class 16. (Palace Gallery 3). Crystals, Rich Glassware and Glazing. Goblets in crystal, cut-glass, double crystal, mounted crystal, &c.; glass for windows, furniture, and mirrors; glass figured, enamelled, crackled, filigraned; optical crystals; ornamental glass-painted windows.";;Palace Gallery 3;Galerie III du Mobilier;Palace;Country Section;Consumerism,Extractivism,Ecocriticism;Industry,Glassworks,Interior Decor,Glass;;;;;;;;;;Mineral,Glass;Chance Brothers and Company from Birmingham, Great Britain;;Glass Plate;checked;Exposition Universelle de 1867. Section Anglaise.;Chance Brothers & Co. Birmingham;"Information on the Chance Brothers in the Official Prize Catalogue:

Chance Brothers & Co. from Birmingham, Great Britain, was not included in the competition for Group 3, Class 16, Crystal, Fancy Glass, and Stained Glass, as Henry Chance was a member of the Jury.


Information from the History of the West Midlands Society on the Chance Brothers:

For about 150 years the Smethwick Company of Chance Brothers was one of the most important and innovative pioneers of glassmaking in the world. Such was its importance Chance Brothers was rightly called ""The greatest glass manufacturer in Britain.""
In 1851 the company produced the glazing for the Crystal Palace which housed the Great Exhibition as well as providing the opal glass for the four faces of the Westminster Clock Tower housing Big Ben. At about this time, Chance Brothers became the most important engineer of the lighthouses which were built around Britain and throughout the British Empire. Today these lighthouses remain a famous part of seascapes all over the world. (""Chance Brothers: pioneering glassmaking technology,"" History West Midlands).";image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/qcgbqNKdTGWtyALxK2leSA/wFJiAYGPmImCa7lK2qz5_bm6isi2LtJXODe_YycYtF1Jx_C2ojqrikcjxl9vqF5fhjbK1RvyIn62FrS7J3fHK7qBFuqJd9bmy8_xO4jjyJiIfbp7T-07EdE6uhgmk7dfKunxEME0dpjEt9_Oi5pMzA/EiQjj1uSGy7r1fVFogUqBsiQymoT6ra4UoJDE_a0Dzk);"Exposition universelle de 1867 à Paris. Jury international. Catalogue officiel des exposants récompensés par le Jury international. Paris : Dentu, 1867. Internet Archive, http://archive.org/details/gri_catalogueoff00expo.
Page 12.

“Chance Brothers: Pioneering Glassmaking Technology.” History West Midlands. http://historywm.com/films/chance-brothers-pioneering-glassmaking-technology.
";"""Exposition universelle de 1867 à Paris. Jury international. Catalogue officiel des exposants récompensés par le Jury international. Paris , E. Dentu, 1867..pdf (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/v5ynLAlUjxwRBDkdHYIdJA/G2muz5t-Hy06gaGydOFWGfa8HSxHE6ZiZD7Lmu2v8FGCgXKAf_bENnrc24v-H_mlUzhu-dIV89nGk6eAqEZJCzBVGUsgC7gVzFf7FUCAIQ-bHrZTnOT8-rH-0zWZ3Zd6U4a1YwKFS-2JkxK22Q-3z8kblr53wW4XyKutshGbtSknm6vUOqFlyMlY8CXzMUZQ7HVLc5RTlWGb5UdKLii7kea68oniqKHr2ljk2nkVy70zcIGuHXdifKhuflbF1wW2s3G9o4zzoQY4SHmgi7BSJ9gQF3QCUdbbAZ-Q1AWZSQ27ufaLzohAZ6Sw9oG4LuE7/El2yAR-YEAs0GiwqXqrlCj2nX7M7DxnIW2U9L0jAHWk)"",EXPOSI~1.PDF (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/wV-mtYLZR2veqXg2R5x8XQ/DvnQEu-kJ4H-w9noizEvDKQEmpRQjZBB0c-uPYdgkqKgodFsai5gnw4NH3KqGpC-20n6Erl7BAy5_KleF7_f-n39TU7F7ds4QfTUbumos2RP0OCrlthc_QMLUxZeHuka2yVn0GAFmCBBjucTSuu3K3C1Xgn0jeJHG6nc3SOG1Ac/F8S7IhxgEpsY8Tx9_XnoLJhOatFV4uXopM4_qlSLzPM)";;“Chance Brothers: Pioneering Glassmaking Technology.” History West Midlands, http://historywm.com/films/chance-brothers-pioneering-glassmaking-technology.;Add excepts from British Catalogue, pages 61, 62, 63.;Decorative Arts;Leon & Levy;7,500x3,511;Getty Foundation
1038;yes;image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/H1lg1n7YKTd1u5ygSJtaAw/6Gf-lXiopZf3QkqTQ1613-ZBoTgiz5C-xKneqDBKeihysCLarKUPO_sUeJ3lpZbmPrHBWTuv5SIalh9-tM5Wme8aIGf3tcMuVNzo4exPQ_oJ7jmAs64k6TEnfzb-RsyMklKlZNGxMqaXyK_WlWqIDQ/gL9w__vTSLc3LDNGtMhoFtsiA8vYtVBBcol3S3OY7_M);8058 Exposition Universelle de 1867. Galerie des Beaux-Arts. Section Italienne.;Christopher Columbus and America;8058;Italy;Group 1. Works of Art.;Class 3. Sculpture and Dye-Sinking.;Class 3. (Palace Gallery 1.) Sculptures and Engravings on Medals. Spherical, embossing, sculptured bas-reliefs, sculptures reponsées, pressed and chiselled, medals, cameos, engraved stones, chemical engravings.;;Palace Gallery 1;Galerie I des Oeuvres d'Art;Palace;Country Section;Coloniality,Gender - Femininity,Political Aesthetics,Indigineity,Exotica;Public Figure,Famous Person,Monument,Sculpture;;;;;;;;checked;First Prize;Plaster;Sculptor Vincenzo Vela, from Turin, Italy;;Glass Plate;checked;Exposition Universelle de 1867. Galerie des Beaux-Arts. Section Italienne.;Cristoforo Colombo;"Artist: Vela, Vincent. From: Turin.
Sous-Commission artistique, à Turin.
Sculptures displayed:
Christophe Colomb et l’Amérique (group in plaster);
Les Derniers Jours de Napoléon Ier (marble);
Le Printemps.

Vela from Italy awarded First Prize in the Group 1, Class 3, Sculpture category.";image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/9cmfFaj25szaUCfLM7FvZg/Q6055g6sVTMgG1lAyLe76DkjNwmYuZoEn-O8tYCx0EgbsDByShYnv9j7oqkRYZPzxfwM-HCIhtVN5lo_u_Hr3QOSP-d_Od6en6o6loDyFJJZa_-ZIlp56wTsPKuX06k9JBLge_gDIu0uGO0DvYh2ag/3vScX3b_Fubi_Fl_IV1hIjG8AHHLqDvGWsKaVcj5Mss),image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/FpEQYsKIhAidc5ZQaQ2MBQ/vQzYTuk62BLTWq304v0ziAai-vnRqtoqK1WGZhr8EVVLTLsD3FHUjOtQulo3OmhjVPfdKXD-wyly_cZ3jw-fy-yz9lLOml7vb_PeGV2Ucwht-p_g3MhfdWL_BKQOZbGFYAvG_w9alqAUzXkq5onV2A/f_ATnnhOyfv30sTkpIsKew6I_0DbDIrgClDLuXw5kc4);"Exposition universelle de 1867 à Paris. Commission impériale. Exposition Universelle de 1867 à Paris. Catalogue général, publié par la Commission impériale. Paris, E. Dentu, 1867. Internet Archive, http://archive.org/details/expositionuniver00expo_2.
Page 203.

Exposition universelle de 1867 à Paris. Jury international. Catalogue officiel des exposants récompensés par le Jury international. Paris : Dentu, 1867. Internet Archive, http://archive.org/details/gri_catalogueoff00expo.
Page 17.
";"""Exposition universelle de 1867 à Paris. Commission impériale. Exposition Universelle de 1867 à Paris. Catalogue général, publié par la Commission impériale. Paris, E. Dentu, 1867..pdf (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/xqQGJlKwTq1dSAJHZXaYVQ/ts6g8-j0NpllyQxGeDtTwtZPPY0aZEVp6AMRSwNKFcUuSiBgZExTL1cS1N5abwFh9e9QASnAQKywzDV3-y12uOeoXx8hxCRVOM_aJYFcWoH6CinL7LWYWnw6n6l6nLCivRZ-DoVO4sSCwd_pgGfg0h1vvGK2xEdVlrQoIeCUs5ATFAmxQZQ-Am4Zp-Du9WFMMrldUwXIrnTZimg4dQs7xCVOWJrTdOvhblkTmiqyWoaZmAnYQVEpyJ-0x_1cyrl6I_tcF9UTa_mQYPT1L48ATTvmTKcQJD-RAO_3YkuJgINnARSzgElk9fCx86MehZ_0k_T_zkwE-1DVfGnD7dWItw/bjRFMjV9TqNPQoRKFF3R7KLRdIUTEdl_RHGtL8sQ7Iw)"",""Exposition universelle de 1867 à Paris. Jury international. Catalogue officiel des exposants récompensés par le Jury international. Paris , E. Dentu, 1867..pdf (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/oL5Ca4PHefg46ljXhPqVVw/htWhKqHB8H3d8Su1L2bY_PuVSy-WuTCgpXrF0ndqc8KGdSZpi2P0OZcMRzlNXqKTBMFMqpJqa9CoRzNElZAxZMKMj_505NOwZCZghqPlBk--8IepGB05LqZhxR4Y4NXPfw0w4aJ9-lfcFdt3t_M4Zxo9xptK1D6IJgjKyHdPL5HDt1xewdvClNyWW5UhT8ZYK1yzl0BDCUbrM3RgN3kAm5vfrHHNYl7FVlDMnFIQ7RrbhaqvGcTBHH-TzFCgh7hfnEZtjlywlMqAKeEwUvoOQRTsKqkmnjRR6RkqShZBKilIQK5Mwjjk3VS4UPyzdu7r/-QT2DBSfw6l6D3uWA8r9xDNdmJhP6wF50d5N1tFIT2U)""";;;;Sculpture;Leon & Levy;7,500x3,512;Getty Foundation
1044;yes;image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/GE5tBkwpKjFKAdO8kFRa5A/23_fzzAonlNGxsaPTAFNvTDwQCdqKcPMGgXoCCRMrJqSOJQmtxchqBiXDYL68yucbGji41O1D4IyLBnM79zJj6s2JLzHXS6OOl65tkWqG6jZ6EQu0_2eR_QrVW34HJz9vEEMARc_3GMmn0HkNtmhCg/026n3A5MZxEXisk59TtwMgcdAY64nMFS_U9TchQV_Kw);8038 Exposition Universelle de 1867. Galerie des Beaux-Arts. Section Italienne.;David from Behind;8038;Italy;Group 1. Works of Art.;Class 3. Sculpture and Dye-Sinking.;Class 3. (Palace Gallery 1.) Sculptures and Engravings on Medals. Spherical, embossing, sculptured bas-reliefs, sculptures reponsées, pressed and chiselled, medals, cameos, engraved stones, chemical engravings.;;Palace Gallery 1;Galerie I des Oeuvres d'Art;Palace;Country Section;Gender - Masculinity;Famous Art,Sculpture,Religion;;;;;;;;;;;;;Glass Plate;checked;;;;;;;;;"See Catalogue of Fine Art; See Catalogue of Italian Section";Sculpture;Leon & Levy;7,500x3,518;Getty Foundation
1043;yes;image.png (https://v5.airtableusercontent.com/v3/u/29/29/1718049600000/JZYkbvH1PxiAnVq2CyTgHw/dZ92mLO_WXNjBV-b8uNCJjrJhSl36ufZkgV8IOjR3oQCR3oGK6M4GIr9glhtrceBtRASZ5SbZYjj71ghS6ThekNBJ1tIIoJvuNXPan9MV3D5nj4VNZ71peJNT6mBLV48QYjXsEgReNXfq6LoG7-Rnw/ypIPRwmapuE2TXDK2e4JHNqHQXotXan7s0j9DCuBh28);8061 Exposition Universelle de 1867. Section Anglaise;English Machines;8061;Great Britain,British Colonies,Ireland;Group 6. Apparatus and Processes used in the Common Arts.;;;;Palace Gallery 6;Galerie VI du Travail;Palace;Country Section;;Industry,Machinery;;;;;;checked;Cacophonic Machinery ;;;Steel,Metal;;;Glass Plate;checked;Exposition Universelle de 1867. Section Anglaise;Grande Bretagne & Irelande - Galerie VI. Travaux des Arts Usuels.;;;;;;;See Catalogue of British Section;Industry;Leon & Levy;7,500x3,517;Getty Foundation
