img_id,Sample,Image,Name,Image Name,expo_id,Country,Group,Class,Class Description,Granular Location - Map,Palace Gallery Section,Palace Gallery Section Name,Area,Locale Type,Critical Theme,Topical Theme,People,Animal,Animal Type,Plant,Plant Type,Sound,Sound Type,Prize,Prize Type,Material,Creator,Image Framing,Image Materiality,Text-in-Frame,Text-in-Image,Associated Excerpt(s),Excerpt Image ,Excerpted Source(s),Source File(s),Associated Image(s),Links,Comments,Medium,Author,Approx Orig Resolution,Collection
21,to complete,,480 Galerie du Travail. Section Japonaise,,480,Japan,,,,,,,Palais,,,,,,,,,,,,,,,,,,,,,,,,,,"Architecture,Animal",Leon & Levy,7100,François Brunet
52,to complete,,363 Elephant et son Palanquin,,363,Japan,,,,,,,Palais,,,,,,,,,,,,,,,,,,,,,,,,,,"Architecture,Animal",Leon & Levy,2000,Patrick Montgomery
59,to complete,,[L&L] Untitled 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leon & Levy,4500,Brian May
91,to complete,,474 Le Cavalier Marocain (BM),,474,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leon & Levy,4500,Brian May
96,to complete,,[L&L] Section Wurtembergeoise,,,Württemberg,,,,,,,Parc,,,,,,,,,,,,,,,,,,,,,,,,,,Birdcage?,Leon & Levy,1050,Archives Nationales de France
143,to complete,,53 Galeries Algériennes (No 2),,53,Algeria,,,,,,,Palais,,,,,,,,,,,,,,,,,,,,,,,,,,Animal,Leon & Levy,1050,Archives Nationales de France
151,to complete,,"406 Beaux-Arts, Section Américaine (No 2)",,406,America,,,,,,,Palais,,,,,,,,,,,,,,,,,,,,,,,,,,Sculpture,Leon & Levy,1600,Archives Nationales de France
176,to complete,,"249 Le Lion (Section Francaise, Edouard Verreaux Naturaliste)",,249,France,,,,,,,Palais,,,,,,,,,,,,,,,,,,,,,,,,,,Animal,Leon & Levy,1050,Archives Nationales de France
250,to complete,image.png (https://v5.airtableusercontent.com/v3/u/29/29/1716156000000/gpMnpUSgHqRFTWY8h4BHWQ/s32g1QczkxVzk_U6G0aWO2ti7qxbx241fWhJ4oiLABlk3qFNjydWi4uQV4kr6588voxSeti4H8MHuxFiMEKH6sRgr-f0nbedsBXfSzS-UDYksMb71Z9m25DGsBBj00s5KSX7BBLZM-nTKCcqoK6rVw/p0GI4ggZW_vZ4pSHeilLREXE1MkIdQirpCJhbM0QVU8),655 - Canon anglais,English Cannon,655,Great Britain,Group 6. Apparatus and Processes used in the Common Arts.,Class 66a. War Material.,Class 66a. War Material.,,Palace Gallery 6,Galerie VI du Travail,Palace,Country Section,Political Aesthetics,"Industry,Weapon,War,Machinery",,,,,,,,,,,,,Albumen Print,Canon anglais,,,,,"""Norton, Charles B., and William J. Valentine. Report to the Government of the United States on the Munitions of War  Exhibited at the Paris Universal Exhibition, 1867..pdf (https://v5.airtableusercontent.com/v3/u/29/29/1716156000000/AsyqrMY97hOO575xaKDVcQ/tjDw7c3FrGMAqwVVQfFRlQPQGM5GDaMiKJqV1g5-mpmJEJ_Rmvue3TYG9EeFXKF1j8zqDLu4XkRqDqRVXH-SKuaBvxqueNPeoJWSTS_GGPVj7UIzSdYoKdc3he2hRvApIpfWj8rHKgxhCvlev6ipEklpFH3TNAGuY6BxfpikQeKPSPd-PquBY6oKTMxFFeQg4dHH5Z-kim2kHVrzXNUuqvz9EMuixduNJnuRhtKx-6lEK_yQhLidD__KD2M2-4LyZDnJ11gEN8qxFAWfacd14VyzS3oC8Q4Dnw1sAdkdTuNu6RDpk-SrwKNSNrh5PxpjOfRXRyDpVwXEbeNv2mYRlw/j8PppY6xobPY8WMgM8Sr90VZ5H8yLoTSuJegnuGSI2M)""",,,,Armory,Leon & Levy,1050,Archives Nationales de France
260,to complete,,"672 Beaux-arts, Section Suisse",,672,Switzerland,,,,,,,Palais,,,,,,,,,,,,,,,,,,,,,,,,,,"Painting,Sculpture",Leon & Levy,1050,Archives Nationales de France
358,to complete,,[L&L] Parc Wurtembergeois,,,Württemberg,,,,,,,Parc,,,,,,,,,,,,,,,,,,,,,,,,,,Architecture,Leon & Levy,1600,Archives Nationales de France
425,to complete,,8138 - Exposition de 1867. Galerie du travail. Section suédoise,,8138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kakou Collection
491,to complete,,FRDAFAN81_OF12v1107_A,,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
522,to complete,,FRDAFAN81_OF12v1147_A,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000x1000,Archives Nationales
